cameraIndexCode,name,latitude,longitude
444f671cbd77473b8e97764eb1b940c4,C138 JALAN IMBI,3.145829,101.714979
4fa506e6b4064a5884e58c9432faaddc,C139 JLN CHANGKAT BKT BINTANG,3.14814,101.706738
685ff385391649939c4773d6d1a0a779,C140 JALAN CHANGKAT BKT BINTANG,3.147356,101.708319
4db91bcd0b4242cfa2722189bc1c6439,C141 TENGKAT TONG SHING,3.146386,101.707906
96de36d05c47420eb6570c3ca857bfbd,C142 JALAN ALOR,3.145697,101.708628
aff7b6e84dad4d29803794dae761a206,C143 JALAN CHANGKAT THAMBI DOLLA ,3.141342,101.712472
222a8b7dcae543628fb5121921a025f8,C144 JALAN THAMBI DOLLAH,3.140252,101.712286
0359bf67f3a344d59e478c11084244e2,C145 JALAN TUN RAZAK,3.13347,101.718201
1dc7fa379d8d4427b34351af4c71d3c9,C146 JALAN PASAR,3.135073,101.714402
4cbc74579c5a4142be0af07c5eb20f73,C147 JALAN TUN TAN CHENG LOCK,3.146027,101.699424
68d67a1bbf5f4c638be5aa1cc1d3f5f0,C148 JALAN TUN TAN CHENG LOCK,3.146218,101.699698
f8a4828b83c247609491808343927168,C149 JALAN LOKE YEW 100,3.115226,101.725935
68511274acf34435a792510b80a31d02,C150 JALAN PUDU,3.145472,101.703886
39ab2858521e41c4943b970f3cc01d49,C151 JALAN IMBI,3.142203,101.70835
09de5e2503dd45808b7740d6fafa9ea8,C152 JALAN PUDU,3.141628,101.708695
b203ee5259f44a14873cbe9d4321a6eb,C153 JALAN PUDU,3.137807,101.709992
57eb70e4f53f4d30aff5147c218dee4c,C154 JALAN PUDU,3.133553,101.714246
babf917e92af4f1083b4aefbd6664cd4,C155 JALAN PUDU,3.134125,101.713317
d5d8d15c76594d1b87cd28449755aa92,C156 JALAN PUDU,3.133553,101.714246
23575b91dd8b4afea5bd8d00df61d0c3,C157 JALAN CHERAS,3.128305,101.721043
02cea46a4a6140e5a61c00360624b776,C158 JALAN CHERAS,3.126122,101.724912
4cff90a72ed24b3a85bd799aeab7ea89,C159 JALAN CHERAS,3.124469,101.727277
25adb52949e74cfbb0feec6c45c58051,C160 JALAN CHERAS,3.122279,101.728998
6cd426d4def94373b3cf9b8550eff936,C161 JALAN CHERAS,3.118049,101.728104
14b97abf4276469b9543d6ba57c9f5bb,C162 JALAN CHERAS,3.113514,101.728201
272a1cc756bc41ce87a8ae295b38f665,C163 JALAN CHERAS,3.106983,101.730926
45d4e08c5ae041e880d3897a47684b40,C164 JALAN LINGKARAN TENGAH 2,3.099407,101.737345
add9561198b240b6a7c06e9352789476,C165 JALAN CHERAS,3.099119,101.737842
2f65ff87f70349c4ab7e6045f4e51561,C166 JALAN CHERAS,3.090239,101.740887
88da587253af4d56b65cd22e21a3c14f,C167 JALAN CHERAS,3.088379,101.741456
c6da5246a93e49beb0c6fa76094783a0,C168 JALAN CHERAS,3.082712,101.742016
8dc2466d55734178801de74b82aa918d,C169 JALAN CHERAS,3.082202,101.74303
07c1be385bbf439cb6c921238dffb0e7,C170 JALAN CHERAS,3.081817,101.741935
f4609bdf98d5417eba4f0483350b7f50,C171 JALAN CHERAS,3.079149,101.743441
5748ae4aa714432790658f0ba2457eb3,C172 JALAN CHERAS,3.078662,101.746514
16affc1b33b64afa9dc51963998ff586,C173 JALAN COCHRANE,3.131289,101.730644
2b6a7015500642198180197a28ac7d51,C174 JALAN JEJAKA,3.127774,101.73284
1e50068ec8b0489bb643721b960f114c,C175 JALAN PUDU PERDANA,3.123344,101.729903
049a9a783e5d4d0291849b0dd35f78bb,C176 JALAN LINGKARAN TENGAH 2,3.107665,101.743209
